32 primary inputs
32 primary outputs
256 AND gates
32 NOT gates
2128 NOR gates

Fanout...
AND-545: OUTPUT-545
NOR-1581: OUTPUT-1581
NOR-1901: OUTPUT-1901
NOR-2223: OUTPUT-2223
NOR-2548: OUTPUT-2548
NOR-2877: OUTPUT-2877
NOR-3211: OUTPUT-3211
NOR-3552: OUTPUT-3552
NOR-3895: OUTPUT-3895
NOR-4241: OUTPUT-4241
NOR-4591: OUTPUT-4591
NOR-4946: OUTPUT-4946
NOR-5308: OUTPUT-5308
NOR-5672: OUTPUT-5672
NOR-5971: OUTPUT-5971
NOR-6123: OUTPUT-6123
NOR-6150: OUTPUT-6150
NOR-6160: OUTPUT-6160
NOR-6170: OUTPUT-6170
NOR-6180: OUTPUT-6180
NOR-6190: OUTPUT-6190
NOR-6200: OUTPUT-6200
NOR-6210: OUTPUT-6210
NOR-6220: OUTPUT-6220
NOR-6230: OUTPUT-6230
NOR-6240: OUTPUT-6240
NOR-6250: OUTPUT-6250
NOR-6260: OUTPUT-6260
NOR-6270: OUTPUT-6270
NOR-6280: OUTPUT-6280
NOR-6287: OUTPUT-6287
NOR-6288: OUTPUT-6288
AND-546: NOR-1446, NOR-1507
AND-723: NOR-5188, NOR-5255
AND-726: NOR-5489, NOR-5553
AND-729: NOR-5792, NOR-5845
AND-732: NOR-6014, NOR-6045
AND-735: NOT-1323, NOR-1377
AND-738: NOR-1462, NOR-1527
AND-741: NOR-1779, NOR-1845
AND-744: NOR-2101, NOR-2170
AND-747: NOR-2430, NOR-2497
AND-750: NOR-2761, NOR-2827
AND-753: NOR-3095, NOR-3161
AND-756: NOR-3433, NOR-3500
AND-759: NOR-3776, NOR-3846
AND-762: NOR-4126, NOR-4194
AND-765: NOR-4478, NOR-4545
AND-768: NOR-4833, NOR-4900
AND-771: NOR-5130, NOR-5193
AND-774: NOR-5434, NOR-5494
AND-777: NOR-5743, NOR-5797
AND-780: NOR-5984, NOR-6019
AND-783: NOT-1327, NOR-1379
AND-786: NOR-1466, NOR-1532
AND-789: NOR-1783, NOR-1850
AND-792: NOR-2105, NOR-2175
AND-795: NOR-2434, NOR-2502
AND-798: NOR-2765, NOR-2832
AND-801: NOR-3099, NOR-3166
AND-804: NOR-3437, NOR-3505
AND-807: NOR-3780, NOR-3851
AND-810: NOR-4130, NOR-4199
AND-813: NOR-4482, NOR-4550
AND-816: NOR-4775, NOR-4838
AND-819: NOR-5076, NOR-5135
AND-822: NOR-5383, NOR-5439
AND-825: NOR-5688, NOR-5748
AND-828: NOR-5950, NOR-5989
AND-831: NOT-1331, NOR-1381
AND-834: NOR-1470, NOR-1537
AND-837: NOR-1787, NOR-1855
AND-840: NOR-2109, NOR-2180
AND-843: NOR-2438, NOR-2507
AND-846: NOR-2769, NOR-2837
AND-849: NOR-3103, NOR-3171
AND-852: NOR-3441, NOR-3510
AND-855: NOR-3784, NOR-3856
AND-858: NOR-4134, NOR-4204
AND-861: NOR-4423, NOR-4487
AND-864: NOR-4721, NOR-4780
AND-867: NOR-5026, NOR-5081
AND-870: NOR-5327, NOR-5388
AND-873: NOR-5633, NOR-5693
AND-876: NOR-5907, NOR-5955
AND-879: NOT-1335, NOR-1383
AND-882: NOR-1474, NOR-1542
AND-885: NOR-1791, NOR-1860
AND-888: NOR-2113, NOR-2185
AND-891: NOR-2442, NOR-2512
AND-894: NOR-2773, NOR-2842
AND-897: NOR-3107, NOR-3176
AND-900: NOR-3445, NOR-3515
AND-903: NOR-3788, NOR-3861
AND-906: NOR-4073, NOR-4139
AND-909: NOR-4368, NOR-4428
AND-912: NOR-4671, NOR-4726
AND-915: NOR-4968, NOR-5031
AND-918: NOR-5271, NOR-5332
AND-921: NOR-5569, NOR-5638
AND-924: NOR-5861, NOR-5912
AND-927: NOT-1339, NOR-1385
AND-930: NOR-1478, NOR-1547
AND-933: NOR-1795, NOR-1865
AND-936: NOR-2117, NOR-2190
AND-939: NOR-2446, NOR-2517
AND-942: NOR-2777, NOR-2847
AND-945: NOR-3111, NOR-3181
AND-948: NOR-3449, NOR-3520
AND-951: NOR-3730, NOR-3793
AND-954: NOR-4022, NOR-4078
AND-957: NOR-4323, NOR-4373
AND-960: NOR-4616, NOR-4676
AND-963: NOR-4916, NOR-4973
AND-966: NOR-5209, NOR-5276
AND-969: NOR-5510, NOR-5574
AND-972: NOR-5813, NOR-5866
AND-975: NOT-1343, NOR-1387
AND-978: NOR-1482, NOR-1552
AND-981: NOR-1799, NOR-1870
AND-984: NOR-2121, NOR-2195
AND-987: NOR-2450, NOR-2522
AND-990: NOR-2781, NOR-2852
AND-993: NOR-3115, NOR-3186
AND-996: NOR-3392, NOR-3454
AND-999: NOR-3681, NOR-3735
AND-1002: NOR-3980, NOR-4027
AND-1005: NOR-4269, NOR-4328
AND-1008: NOR-4566, NOR-4621
AND-1011: NOR-4854, NOR-4921
AND-1014: NOR-5151, NOR-5214
AND-1017: NOR-5455, NOR-5515
AND-1020: NOR-5764, NOR-5818
AND-1023: NOT-1347, NOR-1389
AND-1026: NOR-1486, NOR-1557
AND-1029: NOR-1803, NOR-1875
AND-1032: NOR-2125, NOR-2200
AND-1035: NOR-2454, NOR-2527
AND-1038: NOR-2785, NOR-2857
AND-1041: NOR-3058, NOR-3120
AND-1044: NOR-3344, NOR-3397
AND-1047: NOR-3641, NOR-3686
AND-1050: NOR-3926, NOR-3985
AND-1053: NOR-4220, NOR-4274
AND-1056: NOR-4503, NOR-4571
AND-1059: NOR-4796, NOR-4859
AND-1062: NOR-5097, NOR-5156
AND-1065: NOR-5404, NOR-5460
AND-1068: NOR-5709, NOR-5769
AND-1071: NOT-1351, NOR-1391
AND-1074: NOR-1490, NOR-1562
AND-1077: NOR-1807, NOR-1880
AND-1080: NOR-2129, NOR-2205
AND-1083: NOR-2458, NOR-2532
AND-1086: NOR-2727, NOR-2790
AND-1089: NOR-3010, NOR-3063
AND-1092: NOR-3305, NOR-3349
AND-1095: NOR-3586, NOR-3646
AND-1098: NOR-3877, NOR-3931
AND-1101: NOR-4155, NOR-4225
AND-1104: NOR-4444, NOR-4508
AND-1107: NOR-4742, NOR-4801
AND-1110: NOR-5047, NOR-5102
AND-1113: NOR-5348, NOR-5409
AND-1116: NOR-5654, NOR-5714
AND-1119: NOT-1355, NOR-1393
AND-1122: NOR-1494, NOR-1567
AND-1125: NOR-1811, NOR-1885
AND-1128: NOR-2133, NOR-2210
AND-1131: NOR-2398, NOR-2463
AND-1134: NOR-2678, NOR-2732
AND-1137: NOR-2971, NOR-3015
AND-1140: NOR-3248, NOR-3310
AND-1143: NOR-3536, NOR-3591
AND-1146: NOR-3809, NOR-3882
AND-1149: NOR-4094, NOR-4160
AND-1152: NOR-4389, NOR-4449
AND-1155: NOR-4692, NOR-4747
AND-1158: NOR-4989, NOR-5052
AND-1161: NOR-5292, NOR-5353
AND-1164: NOR-5590, NOR-5659
AND-1167: NOT-1359, NOR-1395
AND-1170: NOR-1498, NOR-1572
AND-1173: NOR-1815, NOR-1890
AND-1176: NOR-2076, NOR-2138
AND-1179: NOR-2353, NOR-2403
AND-1182: NOR-2644, NOR-2683
AND-1185: NOR-2917, NOR-2976
AND-1188: NOR-3202, NOR-3253
AND-1191: NOR-3470, NOR-3541
AND-1194: NOR-3751, NOR-3814
AND-1197: NOR-4043, NOR-4099
AND-1200: NOR-4344, NOR-4394
AND-1203: NOR-4637, NOR-4697
AND-1206: NOR-4937, NOR-4994
AND-1209: NOR-5230, NOR-5297
AND-1212: NOR-5531, NOR-5595
AND-1215: NOT-1363, NOR-1397
AND-1218: NOR-1502, NOR-1577
AND-1221: NOR-1759, NOR-1820
AND-1224: NOR-2033, NOR-2081
AND-1227: NOR-2322, NOR-2358
AND-1230: NOR-2591, NOR-2649
AND-1233: NOR-2873, NOR-2922
AND-1236: NOR-3136, NOR-3207
AND-1239: NOR-3413, NOR-3475
AND-1242: NOR-3702, NOR-3756
AND-1245: NOR-4001, NOR-4048
AND-1248: NOR-4290, NOR-4349
AND-1251: NOR-4587, NOR-4642
AND-1254: NOR-4875, NOR-4942
AND-1257: NOR-5172, NOR-5235
AND-1260: NOR-5476, NOR-5536
AND-1263: NOT-1367, NOR-1399
AND-1266: NOR-1624, NOR-1684
AND-1269: NOR-1897, NOR-1945
AND-1272: NOR-2145, NOR-2221
AND-1275: NOR-2410, NOR-2474
AND-1278: NOR-2690, NOR-2743
AND-1281: NOR-2983, NOR-3026
AND-1284: NOR-3260, NOR-3321
AND-1287: NOR-3548, NOR-3602
AND-1290: NOR-3821, NOR-3893
AND-1293: NOR-4106, NOR-4171
AND-1296: NOR-4401, NOR-4460
AND-1299: NOR-4704, NOR-4758
AND-1302: NOR-5001, NOR-5063
AND-1305: NOR-5304, NOR-5364
AND-1308: NOR-5602, NOR-5670
NOT-1311: NOR-1371, NOT-1372, NOR-1508
NOT-1315: NOR-1373, NOT-1374, NOR-1513
NOT-1319: NOR-1375, NOT-1376, NOR-1518
NOT-1323: NOR-1377, NOT-1378, NOR-1523
NOT-1327: NOR-1379, NOT-1380, NOR-1528
NOT-1331: NOR-1381, NOT-1382, NOR-1533
NOT-1335: NOR-1383, NOT-1384, NOR-1538
NOT-1339: NOR-1385, NOT-1386, NOR-1543
NOT-1343: NOR-1387, NOT-1388, NOR-1548
NOT-1347: NOR-1389, NOT-1390, NOR-1553
NOT-1351: NOR-1391, NOT-1392, NOR-1558
NOT-1355: NOR-1393, NOT-1394, NOR-1563
NOT-1359: NOR-1395, NOT-1396, NOR-1568
NOT-1363: NOR-1397, NOT-1398, NOR-1573
NOT-1367: NOR-1399, NOT-1400, NOR-1578
NOR-1371: NOR-1401
NOT-1372: NOR-1401
NOR-1373: NOR-1404
NOT-1374: NOR-1404
NOR-1375: NOR-1407
NOT-1376: NOR-1407
NOR-1377: NOR-1410
NOT-1378: NOR-1410
NOR-1379: NOR-1413
NOT-1380: NOR-1413
NOR-1381: NOR-1416
NOT-1382: NOR-1416
NOR-1383: NOR-1419
NOT-1384: NOR-1419
NOR-1385: NOR-1422
NOT-1386: NOR-1422
NOR-1387: NOR-1425
NOT-1388: NOR-1425
NOR-1389: NOR-1428
NOT-1390: NOR-1428
NOR-1391: NOR-1431
NOT-1392: NOR-1431
NOR-1393: NOR-1434
NOT-1394: NOR-1434
NOR-1395: NOR-1437
NOT-1396: NOR-1437
NOR-1397: NOR-1440
NOT-1398: NOR-1440
NOR-1399: NOR-1443
NOT-1400: NOR-1443
NOR-1401: NOR-1446, NOR-1506
NOR-1404: NOR-1450, NOR-1511
NOR-1407: NOR-1454, NOR-1516
NOR-1410: NOR-1458, NOR-1521
NOR-1413: NOR-1462, NOR-1526
NOR-1416: NOR-1466, NOR-1531
NOR-1419: NOR-1470, NOR-1536
NOR-1422: NOR-1474, NOR-1541
NOR-1425: NOR-1478, NOR-1546
NOR-1428: NOR-1482, NOR-1551
NOR-1431: NOR-1486, NOR-1556
NOR-1434: NOR-1490, NOR-1561
NOR-1437: NOR-1494, NOR-1566
NOR-1440: NOR-1498, NOR-1571
NOR-1443: NOR-1502, NOR-1576
NOR-1446: NOR-1506, NOR-1507, NOR-1508
NOR-1450: NOR-1511, NOR-1512, NOR-1513
NOR-1454: NOR-1516, NOR-1517, NOR-1518
NOR-1458: NOR-1521, NOR-1522, NOR-1523
NOR-1462: NOR-1526, NOR-1527, NOR-1528
NOR-1466: NOR-1531, NOR-1532, NOR-1533
NOR-1470: NOR-1536, NOR-1537, NOR-1538
NOR-1474: NOR-1541, NOR-1542, NOR-1543
NOR-1478: NOR-1546, NOR-1547, NOR-1548
NOR-1482: NOR-1551, NOR-1552, NOR-1553
NOR-1486: NOR-1556, NOR-1557, NOR-1558
NOR-1490: NOR-1561, NOR-1562, NOR-1563
NOR-1494: NOR-1566, NOR-1567, NOR-1568
NOR-1498: NOR-1571, NOR-1572, NOR-1573
NOR-1502: NOR-1576, NOR-1577, NOR-1578
NOR-1506: NOR-1581
NOR-1507: NOR-1581
NOR-1508: NOR-1628, NOR-1687
NOR-1511: NOR-1582
NOR-1512: NOR-1582
NOR-1513: NOR-1632, NOR-1689
NOR-1516: NOR-1585
NOR-1517: NOR-1585
NOR-1518: NOR-1636, NOR-1691
NOR-1521: NOR-1588
NOR-1522: NOR-1588
NOR-1523: NOR-1640, NOR-1693
NOR-1526: NOR-1591
NOR-1527: NOR-1591
NOR-1528: NOR-1644, NOR-1695
NOR-1531: NOR-1594
NOR-1532: NOR-1594
NOR-1533: NOR-1648, NOR-1697
NOR-1536: NOR-1597
NOR-1537: NOR-1597
NOR-1538: NOR-1652, NOR-1699
NOR-1541: NOR-1600
NOR-1542: NOR-1600
NOR-1543: NOR-1656, NOR-1701
NOR-1546: NOR-1603
NOR-1547: NOR-1603
NOR-1548: NOR-1660, NOR-1703
NOR-1551: NOR-1606
NOR-1552: NOR-1606
NOR-1553: NOR-1664, NOR-1705
NOR-1556: NOR-1609
NOR-1557: NOR-1609
NOR-1558: NOR-1668, NOR-1707
NOR-1561: NOR-1612
NOR-1562: NOR-1612
NOR-1563: NOR-1672, NOR-1709
NOR-1566: NOR-1615
NOR-1567: NOR-1615
NOR-1568: NOR-1676, NOR-1711
NOR-1571: NOR-1618
NOR-1572: NOR-1618
NOR-1573: NOR-1680, NOR-1713
NOR-1576: NOR-1621
NOR-1577: NOR-1621
NOR-1578: NOR-1624, NOR-1685
NOR-1582: NOR-1628, NOR-1686
NOR-1585: NOR-1632, NOR-1688
NOR-1588: NOR-1636, NOR-1690
NOR-1591: NOR-1640, NOR-1692
NOR-1594: NOR-1644, NOR-1694
NOR-1597: NOR-1648, NOR-1696
NOR-1600: NOR-1652, NOR-1698
NOR-1603: NOR-1656, NOR-1700
NOR-1606: NOR-1660, NOR-1702
NOR-1609: NOR-1664, NOR-1704
NOR-1612: NOR-1668, NOR-1706
NOR-1615: NOR-1672, NOR-1708
NOR-1618: NOR-1676, NOR-1710
NOR-1621: NOR-1680, NOR-1712
NOR-1624: NOR-1684, NOR-1685, NOR-1821
NOR-1628: NOR-1686, NOR-1687, NOR-1826
NOR-1632: NOR-1688, NOR-1689, NOR-1831
NOR-1636: NOR-1690, NOR-1691, NOR-1836
NOR-1640: NOR-1692, NOR-1693, NOR-1841
NOR-1644: NOR-1694, NOR-1695, NOR-1846
NOR-1648: NOR-1696, NOR-1697, NOR-1851
NOR-1652: NOR-1698, NOR-1699, NOR-1856
NOR-1656: NOR-1700, NOR-1701, NOR-1861
NOR-1660: NOR-1702, NOR-1703, NOR-1866
NOR-1664: NOR-1704, NOR-1705, NOR-1871
NOR-1668: NOR-1706, NOR-1707, NOR-1876
NOR-1672: NOR-1708, NOR-1709, NOR-1881
NOR-1676: NOR-1710, NOR-1711, NOR-1886
NOR-1680: NOR-1712, NOR-1713, NOR-1891
NOR-1684: NOR-1714
NOR-1685: NOR-1714
NOR-1686: NOR-1717
NOR-1687: NOR-1717
NOR-1688: NOR-1720
NOR-1689: NOR-1720
NOR-1690: NOR-1723
NOR-1691: NOR-1723
NOR-1692: NOR-1726
NOR-1693: NOR-1726
NOR-1694: NOR-1729
NOR-1695: NOR-1729
NOR-1696: NOR-1732
NOR-1697: NOR-1732
NOR-1698: NOR-1735
NOR-1699: NOR-1735
NOR-1700: NOR-1738
NOR-1701: NOR-1738
NOR-1702: NOR-1741
NOR-1703: NOR-1741
NOR-1704: NOR-1744
NOR-1705: NOR-1744
NOR-1706: NOR-1747
NOR-1707: NOR-1747
NOR-1708: NOR-1750
NOR-1709: NOR-1750
NOR-1710: NOR-1753
NOR-1711: NOR-1753
NOR-1712: NOR-1756
NOR-1713: NOR-1756
NOR-1714: NOR-1759, NOR-1819
NOR-1717: NOR-1763, NOR-1824
NOR-1720: NOR-1767, NOR-1829
NOR-1723: NOR-1771, NOR-1834
NOR-1726: NOR-1775, NOR-1839
NOR-1729: NOR-1779, NOR-1844
NOR-1732: NOR-1783, NOR-1849
NOR-1735: NOR-1787, NOR-1854
NOR-1738: NOR-1791, NOR-1859
NOR-1741: NOR-1795, NOR-1864
NOR-1744: NOR-1799, NOR-1869
NOR-1747: NOR-1803, NOR-1874
NOR-1750: NOR-1807, NOR-1879
NOR-1753: NOR-1811, NOR-1884
NOR-1756: NOR-1815, NOR-1889
NOR-1759: NOR-1819, NOR-1820, NOR-1821
NOR-1763: NOR-1824, NOR-1825, NOR-1826
NOR-1767: NOR-1829, NOR-1830, NOR-1831
NOR-1771: NOR-1834, NOR-1835, NOR-1836
NOR-1775: NOR-1839, NOR-1840, NOR-1841
NOR-1779: NOR-1844, NOR-1845, NOR-1846
NOR-1783: NOR-1849, NOR-1850, NOR-1851
NOR-1787: NOR-1854, NOR-1855, NOR-1856
NOR-1791: NOR-1859, NOR-1860, NOR-1861
NOR-1795: NOR-1864, NOR-1865, NOR-1866
NOR-1799: NOR-1869, NOR-1870, NOR-1871
NOR-1803: NOR-1874, NOR-1875, NOR-1876
NOR-1807: NOR-1879, NOR-1880, NOR-1881
NOR-1811: NOR-1884, NOR-1885, NOR-1886
NOR-1815: NOR-1889, NOR-1890, NOR-1891
NOR-1819: NOR-1894
NOR-1820: NOR-1894
NOR-1821: NOR-1897, NOR-1946
NOR-1824: NOR-1901
NOR-1825: NOR-1901
NOR-1826: NOR-1947, NOR-2005
NOR-1829: NOR-1902
NOR-1830: NOR-1902
NOR-1831: NOR-1951, NOR-2007
NOR-1834: NOR-1905
NOR-1835: NOR-1905
NOR-1836: NOR-1955, NOR-2009
NOR-1839: NOR-1908
NOR-1840: NOR-1908
NOR-1841: NOR-1959, NOR-2011
NOR-1844: NOR-1911
NOR-1845: NOR-1911
NOR-1846: NOR-1963, NOR-2013
NOR-1849: NOR-1914
NOR-1850: NOR-1914
NOR-1851: NOR-1967, NOR-2015
NOR-1854: NOR-1917
NOR-1855: NOR-1917
NOR-1856: NOR-1971, NOR-2017
NOR-1859: NOR-1920
NOR-1860: NOR-1920
NOR-1861: NOR-1975, NOR-2019
NOR-1864: NOR-1923
NOR-1865: NOR-1923
NOR-1866: NOR-1979, NOR-2021
NOR-1869: NOR-1926
NOR-1870: NOR-1926
NOR-1871: NOR-1983, NOR-2023
NOR-1874: NOR-1929
NOR-1875: NOR-1929
NOR-1876: NOR-1987, NOR-2025
NOR-1879: NOR-1932
NOR-1880: NOR-1932
NOR-1881: NOR-1991, NOR-2027
NOR-1884: NOR-1935
NOR-1885: NOR-1935
NOR-1886: NOR-1995, NOR-2029
NOR-1889: NOR-1938
NOR-1890: NOR-1938
NOR-1891: NOR-1941, NOR-2000
NOR-1894: NOR-1941, NOR-1999
NOR-1897: NOR-1945, NOR-1946, NOR-2082
NOR-1902: NOR-1947, NOR-2004
NOR-1905: NOR-1951, NOR-2006
NOR-1908: NOR-1955, NOR-2008
NOR-1911: NOR-1959, NOR-2010
NOR-1914: NOR-1963, NOR-2012
NOR-1917: NOR-1967, NOR-2014
NOR-1920: NOR-1971, NOR-2016
NOR-1923: NOR-1975, NOR-2018
NOR-1926: NOR-1979, NOR-2020
NOR-1929: NOR-1983, NOR-2022
NOR-1932: NOR-1987, NOR-2024
NOR-1935: NOR-1991, NOR-2026
NOR-1938: NOR-1995, NOR-2028
NOR-1941: NOR-1999, NOR-2000, NOR-2139
NOR-1945: NOR-2001
NOR-1946: NOR-2001
NOR-1947: NOR-2004, NOR-2005, NOR-2151
NOR-1951: NOR-2006, NOR-2007, NOR-2156
NOR-1955: NOR-2008, NOR-2009, NOR-2161
NOR-1959: NOR-2010, NOR-2011, NOR-2166
NOR-1963: NOR-2012, NOR-2013, NOR-2171
NOR-1967: NOR-2014, NOR-2015, NOR-2176
NOR-1971: NOR-2016, NOR-2017, NOR-2181
NOR-1975: NOR-2018, NOR-2019, NOR-2186
NOR-1979: NOR-2020, NOR-2021, NOR-2191
NOR-1983: NOR-2022, NOR-2023, NOR-2196
NOR-1987: NOR-2024, NOR-2025, NOR-2201
NOR-1991: NOR-2026, NOR-2027, NOR-2206
NOR-1995: NOR-2028, NOR-2029, NOR-2211
NOR-1999: NOR-2030
NOR-2000: NOR-2030
NOR-2001: NOR-2033, NOR-2080
NOR-2004: NOR-2037
NOR-2005: NOR-2037
NOR-2006: NOR-2040
NOR-2007: NOR-2040
NOR-2008: NOR-2043
NOR-2009: NOR-2043
NOR-2010: NOR-2046
NOR-2011: NOR-2046
NOR-2012: NOR-2049
NOR-2013: NOR-2049
NOR-2014: NOR-2052
NOR-2015: NOR-2052
NOR-2016: NOR-2055
NOR-2017: NOR-2055
NOR-2018: NOR-2058
NOR-2019: NOR-2058
NOR-2020: NOR-2061
NOR-2021: NOR-2061
NOR-2022: NOR-2064
NOR-2023: NOR-2064
NOR-2024: NOR-2067
NOR-2025: NOR-2067
NOR-2026: NOR-2070
NOR-2027: NOR-2070
NOR-2028: NOR-2073
NOR-2029: NOR-2073
NOR-2030: NOR-2076, NOR-2137
NOR-2033: NOR-2080, NOR-2081, NOR-2082
NOR-2037: NOR-2085, NOR-2149
NOR-2040: NOR-2089, NOR-2154
NOR-2043: NOR-2093, NOR-2159
NOR-2046: NOR-2097, NOR-2164
NOR-2049: NOR-2101, NOR-2169
NOR-2052: NOR-2105, NOR-2174
NOR-2055: NOR-2109, NOR-2179
NOR-2058: NOR-2113, NOR-2184
NOR-2061: NOR-2117, NOR-2189
NOR-2064: NOR-2121, NOR-2194
NOR-2067: NOR-2125, NOR-2199
NOR-2070: NOR-2129, NOR-2204
NOR-2073: NOR-2133, NOR-2209
NOR-2076: NOR-2137, NOR-2138, NOR-2139
NOR-2080: NOR-2142
NOR-2081: NOR-2142
NOR-2082: NOR-2145, NOR-2222
NOR-2085: NOR-2149, NOR-2150, NOR-2151
NOR-2089: NOR-2154, NOR-2155, NOR-2156
NOR-2093: NOR-2159, NOR-2160, NOR-2161
NOR-2097: NOR-2164, NOR-2165, NOR-2166
NOR-2101: NOR-2169, NOR-2170, NOR-2171
NOR-2105: NOR-2174, NOR-2175, NOR-2176
NOR-2109: NOR-2179, NOR-2180, NOR-2181
NOR-2113: NOR-2184, NOR-2185, NOR-2186
NOR-2117: NOR-2189, NOR-2190, NOR-2191
NOR-2121: NOR-2194, NOR-2195, NOR-2196
NOR-2125: NOR-2199, NOR-2200, NOR-2201
NOR-2129: NOR-2204, NOR-2205, NOR-2206
NOR-2133: NOR-2209, NOR-2210, NOR-2211
NOR-2137: NOR-2214
NOR-2138: NOR-2214
NOR-2139: NOR-2217, NOR-2265
NOR-2142: NOR-2217, NOR-2264
NOR-2145: NOR-2221, NOR-2222, NOR-2359
NOR-2149: NOR-2223
NOR-2150: NOR-2223
NOR-2151: NOR-2269, NOR-2327
NOR-2154: NOR-2224
NOR-2155: NOR-2224
NOR-2156: NOR-2273, NOR-2329
NOR-2159: NOR-2227
NOR-2160: NOR-2227
NOR-2161: NOR-2277, NOR-2331
NOR-2164: NOR-2230
NOR-2165: NOR-2230
NOR-2166: NOR-2281, NOR-2333
NOR-2169: NOR-2233
NOR-2170: NOR-2233
NOR-2171: NOR-2285, NOR-2335
NOR-2174: NOR-2236
NOR-2175: NOR-2236
NOR-2176: NOR-2289, NOR-2337
NOR-2179: NOR-2239
NOR-2180: NOR-2239
NOR-2181: NOR-2293, NOR-2339
NOR-2184: NOR-2242
NOR-2185: NOR-2242
NOR-2186: NOR-2297, NOR-2341
NOR-2189: NOR-2245
NOR-2190: NOR-2245
NOR-2191: NOR-2301, NOR-2343
NOR-2194: NOR-2248
NOR-2195: NOR-2248
NOR-2196: NOR-2305, NOR-2345
NOR-2199: NOR-2251
NOR-2200: NOR-2251
NOR-2201: NOR-2309, NOR-2347
NOR-2204: NOR-2254
NOR-2205: NOR-2254
NOR-2206: NOR-2313, NOR-2349
NOR-2209: NOR-2257
NOR-2210: NOR-2257
NOR-2211: NOR-2260, NOR-2318
NOR-2214: NOR-2260, NOR-2317
NOR-2217: NOR-2264, NOR-2265, NOR-2404
NOR-2221: NOR-2266
NOR-2222: NOR-2266
NOR-2224: NOR-2269, NOR-2326
NOR-2227: NOR-2273, NOR-2328
NOR-2230: NOR-2277, NOR-2330
NOR-2233: NOR-2281, NOR-2332
NOR-2236: NOR-2285, NOR-2334
NOR-2239: NOR-2289, NOR-2336
NOR-2242: NOR-2293, NOR-2338
NOR-2245: NOR-2297, NOR-2340
NOR-2248: NOR-2301, NOR-2342
NOR-2251: NOR-2305, NOR-2344
